HomeTeam,HG,AG,AwayTeam
Newcastle,0,0,Arsenal
Blackburn,1,2,Wolves
Fulham,0,0,Aston Villa
Liverpool,1,1,Sunderland
Wigan,1,1,Norwich
QPR,0,4,Bolton
Stoke,0,0,Chelsea
West Brom,1,2,Man United
Man City,4,0,Swansea
Arsenal,0,2,Liverpool
Aston Villa,3,1,Blackburn
Chelsea,2,1,West Brom
Everton,0,1,QPR
Sunderland,0,1,Newcastle
Swansea,0,0,Wigan
Bolton,2,3,Man City
Norwich,1,1,Stoke
Wolves,2,0,Fulham
Man United,3,0,Tottenham
Swansea,0,0,Sunderland
Liverpool,3,1,Bolton
Chelsea,3,1,Norwich
Wigan,2,0,QPR
Aston Villa,0,0,Wolves
Blackburn,0,1,Everton
West Brom,0,1,Stoke
Tottenham,1,5,Man City
Man United,8,2,Arsenal
Newcastle,2,1,Fulham
Wolves,0,2,Tottenham
Arsenal,1,0,Swansea
Bolton,0,5,Man United
Everton,2,2,Aston Villa
Man City,3,0,Wigan
Stoke,1,0,Liverpool
Sunderland,1,2,Chelsea
Fulham,1,1,Blackburn
Norwich,0,1,West Brom
QPR,0,0,Newcastle
Bolton,1,2,Norwich
Blackburn,4,3,Arsenal
Wolves,0,3,QPR
Everton,3,1,Wigan
Aston Villa,1,1,Newcastle
Swansea,3,0,West Brom
Tottenham,4,0,Liverpool
Sunderland,4,0,Stoke
Man United,3,1,Chelsea
Fulham,2,2,Man City
West Brom,0,0,Fulham
Stoke,1,1,Man United
Newcastle,3,1,Blackburn
Man City,2,0,Everton
Wigan,1,2,Tottenham
Chelsea,4,1,Swansea
Arsenal,3,0,Bolton
Liverpool,2,1,Wolves
QPR,1,1,Aston Villa
Norwich,2,1,Sunderland
Wolves,1,2,Newcastle
Aston Villa,2,0,Wigan
Blackburn,0,4,Man City
Everton,0,2,Liverpool
Man United,2,0,Norwich
Sunderland,2,2,West Brom
Tottenham,2,1,Arsenal
Fulham,6,0,QPR
Swansea,2,0,Stoke
Bolton,1,5,Chelsea
Wigan,1,3,Bolton
Chelsea,3,1,Everton
Liverpool,1,1,Man United
Man City,4,1,Aston Villa
Norwich,3,1,Swansea
QPR,1,1,Blackburn
Stoke,2,0,Fulham
West Brom,2,0,Wolves
Newcastle,2,2,Tottenham
Arsenal,2,1,Sunderland
Wolves,2,2,Swansea
Aston Villa,1,2,West Brom
Bolton,0,2,Sunderland
Liverpool,1,1,Norwich
Newcastle,1,0,Wigan
Fulham,1,3,Everton
Blackburn,1,2,Tottenham
Man United,1,6,Man City
Arsenal,3,1,Stoke
QPR,1,0,Chelsea
Wigan,0,2,Fulham
West Brom,0,2,Liverpool
Swansea,3,1,Bolton
Norwich,3,3,Blackburn
Sunderland,2,2,Aston Villa
Everton,0,1,Man United
Man City,3,1,Wolves
Chelsea,3,5,Arsenal
Tottenham,3,1,QPR
Stoke,1,3,Newcastle
Liverpool,0,0,Swansea
Arsenal,3,0,West Brom
Aston Villa,3,2,Norwich
Blackburn,0,1,Chelsea
Man United,1,0,Sunderland
Newcastle,2,1,Everton
QPR,2,3,Man City
Bolton,5,0,Stoke
Fulham,1,3,Tottenham
Wolves,3,1,Wigan
Wigan,3,3,Blackburn
Swansea,0,1,Man United
West Brom,2,1,Bolton
Sunderland,0,0,Fulham
Norwich,1,2,Arsenal
Man City,3,1,Newcastle
Everton,2,1,Wolves
Stoke,2,3,QPR
Chelsea,1,2,Liverpool
Tottenham,2,0,Aston Villa
Chelsea,3,0,Wolves
Arsenal,1,1,Fulham
Bolton,0,2,Everton
Man United,1,1,Newcastle
Norwich,2,1,QPR
Stoke,3,1,Blackburn
Sunderland,1,2,Wigan
West Brom,1,3,Tottenham
Swansea,0,0,Aston Villa
Liverpool,1,1,Man City
Newcastle,0,3,Chelsea
QPR,1,1,West Brom
Man City,5,1,Norwich
Wigan,0,4,Arsenal
Aston Villa,0,1,Man United
Tottenham,3,0,Bolton
Blackburn,4,2,Swansea
Everton,0,1,Stoke
Wolves,2,1,Sunderland
Fulham,1,0,Liverpool
West Brom,1,2,Wigan
Arsenal,1,0,Everton
Bolton,1,2,Aston Villa
Liverpool,1,0,QPR
Man United,4,1,Wolves
Norwich,4,2,Newcastle
Swansea,2,0,Fulham
Sunderland,2,1,Blackburn
Stoke,2,1,Tottenham
Chelsea,2,1,Man City
Newcastle,0,0,Swansea
Blackburn,1,2,West Brom
Everton,1,1,Norwich
Fulham,2,0,Bolton
Wolves,1,2,Stoke
Wigan,1,1,Chelsea
QPR,0,2,Man United
Tottenham,1,0,Sunderland
Man City,1,0,Arsenal
Aston Villa,0,2,Liverpool
Blackburn,1,2,Bolton
Wolves,2,2,Norwich
QPR,2,3,Sunderland
Aston Villa,1,2,Arsenal
Everton,1,0,Swansea
Fulham,0,5,Man United
Man City,3,0,Stoke
Newcastle,2,3,West Brom
Wigan,0,0,Liverpool
Tottenham,1,1,Chelsea
Stoke,0,0,Aston Villa
Man United,5,0,Wigan
Liverpool,1,1,Blackburn
West Brom,0,0,Man City
Bolton,0,2,Newcastle
Sunderland,1,1,Everton
Chelsea,1,1,Fulham
Arsenal,1,1,Wolves
Swansea,1,1,QPR
Norwich,0,2,Tottenham
Liverpool,3,1,Newcastle
Norwich,1,1,Fulham
Stoke,2,2,Wigan
Chelsea,1,3,Aston Villa
Man United,2,3,Blackburn
Arsenal,1,0,QPR
Swansea,1,1,Tottenham
Bolton,1,1,Wolves
Sunderland,1,0,Man City
West Brom,0,1,Everton
Aston Villa,0,2,Swansea
Fulham,2,1,Arsenal
QPR,1,2,Norwich
Wolves,1,2,Chelsea
Blackburn,1,2,Stoke
Man City,3,0,Liverpool
Tottenham,1,0,West Brom
Wigan,1,4,Sunderland
Newcastle,3,0,Man United
Everton,1,2,Bolton
Tottenham,2,0,Everton
Aston Villa,1,1,Everton
Blackburn,3,1,Fulham
Chelsea,1,0,Sunderland
Liverpool,0,0,Stoke
Man United,3,0,Bolton
Tottenham,1,1,Wolves
West Brom,1,2,Norwich
Swansea,3,2,Arsenal
Newcastle,1,0,QPR
Wigan,0,1,Man City
Bolton,3,1,Liverpool
Everton,1,1,Blackburn
Fulham,5,2,Newcastle
Norwich,0,0,Chelsea
QPR,3,1,Wigan
Stoke,1,2,West Brom
Sunderland,2,0,Swansea
Wolves,2,3,Aston Villa
Arsenal,1,2,Man United
Man City,3,2,Tottenham
Wolves,0,3,Liverpool
Tottenham,3,1,Wigan
Swansea,1,1,Chelsea
Everton,1,0,Man City
Man United,2,0,Stoke
Sunderland,3,0,Norwich
Bolton,0,0,Arsenal
Aston Villa,2,2,QPR
Blackburn,0,2,Newcastle
Fulham,1,1,West Brom
West Brom,1,2,Swansea
Wigan,1,1,Everton
Stoke,0,1,Sunderland
